SWP_No,Accused_or_Topic,Date,Legal_Proceeding,Trial_Text,word_count,char_count
SWP No. 173.79,Reversal of Attainder and Restitution (1710 - 1750),"February 19, 1712",Receipts,"(Receipts for Sums Paid in Restitution) [February 19, 1712] Whereas His Excellency the Governour and General court have been pleased to grant to the persons who were Sufferers in the year 1692 some considerable alowance towards restitution with respect to what they suffered in their Estates at that Sorrowfull time & have alsoe appointed a Comitte viz. John Appl[e]ton Esq'r Thomas Noyes Esq'r John Burrel Esq'r Nehemiah Jewet Esq'r. & Stephen Sewall to distribute the Same to & amongst the parties concern'd as in & by the records & Court orders May appear. Now Know yee that wee the Subscribers hereunto being Either the proper parties or such as represent them or have full power & authority from them to Receive thier parts & shares doe acknowledge to Have Received of & from the s'd Comitte the Severall Sums Sett against our respective Names in full of our parts & Shares of the money afores'd & such of us as have orders from some of the parties concerned to receive their parts & shares doe avouch them to be real & good so that for whomsoever wee take upon us to receive any such sum wee doe oblige ourselves to Indemnify the said Comitte to all Intents constructions & purposes, wee say Received this 19th day of February anno Domi 1711/12 & in the Tenth year of *Abram How for Mary & Abigail How ...........................................4-14- 0 *Ephraim Roberdes for James Martha & Sarah How children of John How ..................................................4-14-10 Abraham marke foster for mother....................6-10- 0 Abraham marke Foster for Mary lacey by order.................................8-10- 0 *Samuel wardel ...................................36-15- 0 *Benja putnam for Sarah Good ..30- 0- 0 William marke of  Towne for wife widow of Willard.....6-12- 8 *Isac Estey ..........................................2- 9- 0 *John Estey ...........................................2- 9- 0 William Clews .......................................11- 0- 0 John Ames ten pounds by order of his mother on file....10- 0- 0 *Ephraim Wiles ......................................14- 0- 0 Abigail Faulkner ............................20- 0- 0 George marke of  Jacobs...........................46- 0- 0 Anne marke of  Andrews................................23- 0-0 Charge... 01-13-0 [Total]    79- 0- 0 *John foster ...........................................08- 7-0 *John King for himselfe & Sister Anne Christopher marke  Read Maried Eliz. Hoar. Joana marke  Green for selfe *Joseph Parker ........................................8- 0- 0 for Mary post *Joseph Parker ........................................8-14- 0 for M. Carrier *Joseph Parker ........................................7- 6- 0 Received on the foregoing side                                                    £ s d *Samuel Nurs for him selfe & John Nurse & John Tarbell Rebeccah Preston William Russel Martha Bowden & francis Nurs ......21-14- 0 Elizabeth marke  Richards alias Procter Benjam marke  Procter *Ebenezer Bancroft for Martha Procter *William procter *John procter *Thorndik Procter. In behalf of my selfe and Joseph procter and Abigail Procter and mary procter and my sister Elizabeth Very . Sarah marke  Munion alias Procter Elizabeth marke  Procter *Charles Burrough for myselfe and for Jeremiah £ s d Burrough and Rebekah Fowle Hanah Fox & Elizabeth Thomas .......4-2-0 each of us.....20-10- 0 John Appleton Rec'd for G'o. Burrough the same of fore poundes & two shills. 23d/ Abigail marke  Hoar both £ s Rebeccah marke  Hoar 20-4 Feb 23 1711 William marke Hobbs......................................9-15- 0 1711 for his sister Abigail Hobbs 4- 2 cha. 10                 10- 0- 0 Leonard marke  Slue for selfe & sister Racheld Mary marke Pittman alias How ............................................... 10- 4 Rec'd as afores'd for George Abbott & Hanah £ s d his wife daughter of mary Easty .................................................2- 9- 0 March 4, 1711 by their written order forty nine shillings *John farnum March 5: Rec'd for my selfe forty nine shillings .............................2 9 0 *Jacob esti March 6. 1711. Received for my selfe three poundes ........................4s & 6e for my own share. Hanah marke  Willard March 6 Rec'd for our daughter Margaret Willard being under age three pounds four shillings 6d marke William Town Margaret marke  Towne wife of s'd W'm Town. March 22 Received for my daughter Mary Burroughs four pounds 2.s in full for her share. Mary marke Hall alias Burroughs marke March 22, 1711-12 Received for Mary Hall my selfe Ten poundes alias Burroughs April 5 1712 Rec'd of Stephen Sewall as afores'd..... 6 9 0 John marke  Willard May 1. 1712. Rec'd on behalfe of my wife Deborah How Two pounds seven Shilling in full. *Isaac How Rec'd for Benj. Nurse fifty four shillings & 6 d May 12, 1712. *Samuel nurs Rec'd for myself the subscriber & for my Bro'r in Law Peter Thomas in right of Elizabeth his wife & my sister Hanah fox wife of mr Jabez fox & Rebecca fowles four pounds Ten shillings. *George burroughs Received for my bro'r Jeremiah Burroughs & myselfe Two pounds five shillings. *Charles Burrough Newbury May 22d, 1712. Rec'ed for & in behalfe of my wife Jane True & Mary Stanion daughters of Mary Bradbury & for John Buss & Eliza Buss Children of Elizabeth Buss , the Sum of Nine Poundes fifteen shillings p me *Henry True May 22d 1712. Recec. for my Brethren & Sisters being six of us in number Children of Judah Moodey one of the daughters of the afores'd Mary Bradbury Dec'd. thre pounds five shill's *Caleb Moodey. May 22d 1712. Rec'd for my Sister Anne Allen & my selfe Children of Wymond Bradbury Dec'ed three pounds five Shillings p'r me * Wymond Bradbury . Reced for my Two Brothers William Bradbury & Jacob Bradbury myself Three pounds five shillings in full p'r me * Thomas Bradbury. July 27, 1712. Rec'd on the acct aforesaid Eleven pounds five shillings for my part Rec'd in full marke                             Samuel  X Procter Sep'r 3d 1712. Received for my Brother Joshua & my selfe 4 18 0 which I ingage to produce his order for & send to Sewall. *Benjamin Estie Sept 3d. 1712. Rec'd for my sister Sarah Gills forty nine shillings which I promise to send her receipt for *Benjamin Estie. Nov'r 28, 1712  Rec'd for Joseph Estie [&] and by his written order forty nine shillings *John Commings. ( Essex County Court Archives, Salem -- Witchcraft Vol. 2, no.140. Massachusetts Supreme Judicial Court, Judicial Archives. Massachusetts State Archives, Boston, MA )",1014,6533
SWP No. 173.9,Reversal of Attainder and Restitution (1710 - 1750),"September 9, 1710",Account for Restitution,"(Account of Charles Burroughs for Restitution for George Burroughs ) [** September 9, 1710] To the Honoured Comitte apoined by the Gennarll Court to Inquire into the Names of Such as may be Meet for takeing of the atta[nbar ]der  for the Makeing Some Restitucon & these Humbly & Sorroufully Shew that our Dear & Honourd father Mr George Burrough was aprehened in apriel -- 1692 at wells & Imprisoned Severall Months in Bostone & Salem Goales and at last Condemened & Executed for whichcraft which we have all the reason in the world to bleve he was innocent of by his carefull Chatecizing his Chilldren & upholding religion in his family and by his Solom & Savory written Instructions from prison we were Left a parsell of small Chilldren of us helpless & a mother in Law with one Small Child of her owne to take care of whereby she was not so Capable to take care of us by all which our fathers small Estate was most of it Lost & Expended and we Scattered we cannot tell Certanly what the lose may be but the Least we can Judge by best information was fifty poundes besides the damage that hath acrued to us many wayes thereby is Some hundreds of pounds wee Earnestly pray that the attainder may be taken of & if you please the fifty pounds may be restored *Charles Burrough Elder Son In the Name of the reast (On reverse side of paper) Mr. George Burroughs Condemned & Executed having been lately of Wells in the Countey of York ( Massachusetts Archives Vol. 135, no. 136. Massachusetts State Archives. Boston, MA. )",278,1518
SWP No. 72.23,"Elizabeth How Executed July 19, 1692","June 2, 1692",Deposition,"( Deposition of Sarah Andrews v. Elizabeth How ) [June 2, 1692] The deposi[ibar ][obar ][nbar ] of Sarah Andrew of Boston aged 27. years about seven yeares since going to see my sister Hanah Pearly of Ipswich farmes. who was in a Strange Condicon sick of fitts & the Like She told me when she came Out of her fitts that it was Eliz. How wife to James How Jun'r. of Ipswich farmes that Hurtt. her & that she would feign throw her into the fire & into the water. & that though her father had Corrected her for charging so pious a woman yet she was sure twas true & should stand to it to her death Sworn in Court June. 2d 1692 attest * St: Sewell Cle[rbar ] Jno. Cookes Evidence (Reverse) Sarah Andrews Hanah And. Euidence agt Contra El. How How ( Witchcraft Papers, no. 23a, Massachusetts Historical Society, Boston. MA. )",156,820
SWP No. 95.4,"Sarah Osborne Died in Prison, May 10, 1692","March 1, 1692",Desposition,"(Desposition of Ann Putnam, Jr. v. Sarah Osborne ) [+ March 1, 1692 ] The Deposistion of Ann putnam who testifieth and saith that on the 25'th of february 1691/92 I saw the Apperishtion of sarah osborn the wife of Allexandar osborn who did immediatly tortor me most greviously by pinching and pricking me dreadfully and so she continewed most dreadfully to afflect me tell the first day of march being the day of hir examination and then also she did tortor me most dreadfully in the time of hir examination: and also severall times sence sarah osborn has afflected me and urged me to writ in hir book (Reverse) Ann putnam ag't Sarah Osborne ( Essex County Court Archives, Salem -- Witchcraft Vol. 1, No. 27, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA. ) )",140,811
SWP No. 72.3,"Elizabeth How Executed July 19, 1692","June 29, 1692",List of Witnesses,"(List of Witnesses) [++ June 29, 1692] Witnesses against goody How Samuel Pearly & his wife Timothy Pearly deborah Pearly Sarah Andrews deacon Cummins his wife Thomas Heasons wife of boxford Joseph Andrews & his wife Boxford John Sherring of Ipswich Joseph Safford Ipswich Abram Howe #[&] wife John Andrews Boxford] [ John Andrews Boxford ] Boxford ( Essex County Court Archives, Salem -- Witchcraft Vol. 1 no. 320, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA. )",81,516
SWP No. 136.1,"Sarah Wilds Executed July 19, 1692","April 21, 1692",Warrant,"(Warrant for the apprehension of Sarah Wilds , William Hobbs , Deliverance Hobbs , Nehemiah Abbott Jr. , Mary Esty , Edward Bishop, Jr. , Sarah Bishop , Mary Black , and Mary English ) [April 21, 1692] Salem Aprill the 21'th 1692 There Being Complaint this day made (before us) by Thomas Putnam and John Buxton of Salem Village Yeomen, in behalfe of their Majest's ,for them selfes and also for severall of theire Neighbours, Against W'm Hobbs husbandman and Delive' his wife, Nehemiah Abot Jun'r weaver. Mary Easty the wife of Isaac Easty and Sarah Wilds the wife of John Wilds all of the Towne of Topsfield or Ipswitch: And Edward Bushop husbandman & Sarah his wife of Salem Village, and Mary Black a Negro of Leut't Nathaniel Putnams of Salem Village also And Mary English the wife of Phillep English Merchant in Salem for high Suspition of Sundry acts of Witchcraft donne or Committed by them Lately upon the Bodys of Anna Putnam & Marcy Lewis belonging to the famyly of the aboves'd Thomas Putnam Complain't and Mary Walcot the daufter of Capt Jonat' Walcot of s'd Salem Village and others, whereby great hurt and dammage hath benne donne to the bodys of said persons above named therefore Craved Justice. You are therefore in theire Majest's names hereby required to Apprehend and bring before us William Hobs husbandman and [] his wife Nehemiah Abot Jun'r weaver Mary Easty the wife of Isaac Easty and all the rest above named to Morrow aboute ten of the Clock in the forenoon at the house of Leiut Nath'll Ingersalls in  Salem Village. in order to theire Examination Relateing to the premises abovesayd and hereof you are not to faile Dated Salem Aprill 21'th 1692 John Hathorn & Jonathan Corwin. To: Geo: Herrick Marshall of Essex and any or all the Constables in Salem -- or Topsfeild or any other Towne (Reverse) [words illegible] ( Essex County Court Archives, Salem -- Witchcraft Vol. 1, no. 163 )",336,1910
SWP No. 168.1,"A Bill Against Conjurations, Witchcraft, and Dealing with Evil and Wicked Spirits (December 1692)","December 14, 1692",Bill,"(A Bill against Conjuration, Witchcraft and Dealing with Evil and Wicked Spirits) [December 14, 1692] For more particular direction in the Execution of the Law against Witchcraft. (Crossed out: For Explanation of the Law against Witchcraft and more particular direction therein the Execution thereof and for the better restraining the said Offences, and more severe punishing the same,) Be it enacted by the Govern'r Council and Representatives in General Court Assembled and by the Authority of the same, That if any person or persons #[after] shall use, practice or Exercise any Invocation or Conjuration of any evil and wicked Spirit, Or shall consult, covenant with Entertain, Employ, feed or reward any evil and wicked Spirit to or for any intent or purpose; Or take up any dead man woman or Child, out of his, her, or their grave, or any other place where the dead body resteth, or the Skin, bone or any other part of any dead person to be Employed or used in any manner of Witchcraft, Sorcery, Charm or Inchantment, Or shall use, practice or Exercise any Witchcraft, Inchantment charm or Sorcery, whereby any person shall be killed, destroyed, wasted, consumed, pined or lamed in his or her body, or any part thereof, That then every such Offender or Offen-ders, their Aiders, Abetters, and Counsellors being of any the said Offences duly and lawfully convicted and attainted, shall suffer pains of death as a Felon or Felons. And further to the intent that all manner of practice, use or exercise of witchcraft Inchantment, charm or Sorcery, should be henceforth utterly avoided, abolished and taken away, Be it Enacted by the Authority afores'd That if any person or persons shall take upon him or them by Witchcraft, Inoffending,  and being thereof lawfully convicted, shall for the said offence suffer Imprisonment by the space of one whole year without bail or mainprise and once in every Quarter of the s'd year shall in some Shire Town stand openly upon the pillory by the space of Six houres, and there shall openly confess his or her Error and offence, which said offence shall be written in Capitall Letters & placed upon the breast of said offender And if any person or persons being once convicted of the same Offence, and shall again commit the like Offence and being of any of the said Offences the second time lawfully & duely convicted and attainted as is aforesaid shall Suffer pains of death as a felon or felons. X'br [=December].14.92 : This Bill read orderly in This house of Representatives and voted passed in the Affirmative & Sent to his Excellency the Governor & Councill for Consent *William Bond speaker Read several times in Council, Voted, Ordered to be Engrossed and pass in to an Act, die predict And is consented unto P * William Phips Bill against Conjuration [witch]craft and dealing with Evil and Wicked Spirits Past Decemb'r 1692 ( Mass. Archives Vol. 135 No. 68, Massachusetts State Archives, Boston, MA. )",501,2951
SWP No. 17.2,"Mary Bridges, Sr.","October 19, 1692",Report,"( Rev. Increase Mather's Report of his Conversation in Prison with Mary Bridges, Sr. ) [October 19, 1692 ] Goodwife Bridges said that she had confessed against herself things which were all utterly false; and that she was brought to her confession by being told that she certainly was a witch, and so made to believe it, -- though she had no other grounds so to believe. ( Charles W. Upham, Salem Witchcraft. Boston, 1867, II, 406 .)",78,433
SWP No. 37.10,"Giles Corey Pressed to Death, September 16, 1692","September 5, 1692",Testimony,"( Testimony of John DeRich v. Giles Corey and Sarah Pease ) [? September 5, 1692] the testomeny of John derech Eaged about sixten years testefieth and sayeth that gils Cory also Came to me and aflicted me this 5 of September as wel be fore as after he al so Came a bout the 20 of ogus [August?] and told me that he wanted som platers for he was gowen to afeast he told me that he had a good mind to ask my dame but he sayd that she wouled not let him have them so he took the platers and cared them a way being gown a bout half a oure with them then he brot them a gaine gowen a way and sayd no thing also Sary pese afliceth me at several times she Came to me af the fast day last at Salam She pinched me then and i have not sene  har sencs -- these howes nams are under riton were there and saw the platers  were gown as John derich sayed hanah small martha Adams (Reverse) Jno Derich agt Giles Cory ( Essex County Court Archives, Salem -- Witchcraft Vol. 2, no. 92. Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston. MA. )",212,1068
SWP No. 94.11,"Rebecca Nurse Executed July 19, 1692","March 24, 1692",Statemen,"( Statemen of of Israel Porter , Elizabeth Porter , Daniel Andrew and Peter Cloyce for Rebecca Nurse ) [++ March 24, 1692] We whos nams Are under writen being desiered to goe to goodman nurs his hous to speeke with his wife and to tell her that several of the Aflicted persons mentioned her: and Acordingly we went and we found her in A weak and Lowe condition in body as shee told us and had been sicke allmost A weak and we asked how it was otherwis  with her and shee said shee blest god for it shee had more of his presents in this sickens then sometime shee have had but not soe much as shee desiered: but shee would with the Apostle pres forward to the mark: and many other places of scriptur to the Like purpos: and then of her owne Acord shee begane to speek of the Affliction that was Amongst them and in perticuler of Mr Parris his family and howe shee was greved for them though shee had not been to see them: by Reason of fits that shee formerly use to have for people said it was Awfull to:behold: but shee pittied them with: all her harte: and went to god for them: but shee said shee heard that there was persons spoke of that wear as Innocent as shee was shee belived and After much to this purpos: we told her we heard that shee was spoken of allsoe: well she said if it be soe the will of the Lord be done: she sate still awhille being as it wear Amazed: and then shee said well as to this thing I am Innocent as the child unborne but seurly shee said what sine hath god found out in me unrepented of that he should Lay such an Affliction upon me In my old Age: and Acording to our best observation we could not decern that shee knewe what we came for before we tould her *Israel porter *Elizabeth porter To the substance of what is Above we if caled there too: are Ready to testifie on: oath *Daniell Andrew *Peter Cloys ( Essex Institute Collection, No. 16. Peabody Essex Museum, James Duncan Phillips Library, Rowley, MA. )",378,1944
SWP No. 100.3,Joan Peney,"September 21, 1692",Fragment of Examination,"Fragment of the Examination of Joan Penny [September 21, 1692] She was bid to say the Lord's Prayer. When she came to forgive us our trespasses as we forgive them that trespass against us, she said, so do I. No other mistake in saying the prayer, remarkable. ""A woman's examination, Sept. 21, 1692"" as quoted in Thomas Hutchinson, The History of the Colony and Province of Massachusetts-Bay, 1767. (Cambridge, MA: Harvard University Press, 1936.), vol. II, p. 43n.",78,464
SWP No. 45.6,"Mary Esty Executed, September 22, 1692","September 7, 1692",Excuse,"(Excuse of Mary Towne ) [September 7, 1692] To the Honered Court now Seting in Salem Right honered: the Constabll of Topsfild hath sarved a warent  one me and too of my sons and too of my dafters: to Apere this day  at Salem I humbly baig that your honers will not Impuet any thing  concarning our not coming as Contempt of athority for ware I my  selfe or any of my famely sent for in any capasete of Coming we  would Com but we are in a Straing condicion and most of us can  scars git of of our beads we are so wake and not abell to Reid at all:  as for my dafter Rebaka she hath Straing fits somtimes she is knoked  downe of a sodin: #[and that espachaly If hur ant Easty be but named:] *Mary Towne Dat the 7th of September 1692 ( Essex County Court Archives, Salem -- Witchcraft Vol 1. no. 287. Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA. )",171,899
SWP No. 90.2,Jane Lilly,"December 8, 1692",Recognizance,"(Recognizance for Jane Lilly ) [December 8, 1692] Memorandum: That on the Eighth Day of December 1692 in the fourth Year of the Reign of our Sovereign Lord & Lady William & Mary by the Grace of God of England: &c King & Queen Defenders of the faith personally Appeared before us James Russell & Samu'll Heman Esq'rs. of their Majestes Councill: & Province of the Massachusets bay in New Engld & Justices of peace within the same; John; Pierson; George Lilly & Ruben Lilly all of Linn: husbandmen in the County of Essex And Acknowledged themselves and Each of them to be Indebted Unto our S'd Lord & Lady the King & Queen & the Survivor of them their heires & Successors in the some of Two hundred Pounds to be Leavied on their or Either of there Goods or Chattells Lands or Tenements for the use of sd Lord & Lady the King & Queen or Survivor of them if Default be made in performance of the Condition und'r written Viz -- The Condition of the Above Recognizance is Such that whereas Jane Lilly of Reading in the County of Middlesex wass commited to Goall on Suspition of Witchcraft; If therefore the above S'd Jane Lilly Shall make her personall Appearance before the Justices of Our S'd Lord & Lady the King & Queen at the next Court of Assizes Oyer & Terminer And Generall Goall Delivery to be holden for & within the County of Middls'x: to Answer what Shall be Objected Against her in their Majests: behalf Refering to Witchcraft And to do & Receive that w'ch by S'd. Court Shall be then and there Injoned her not to Depart with out Licence then the Above Recognizance to be void or elce to Remain in full force And Virtue *Ja: Russell P'r *Samuell Hayman (Reverse) Recogniz. Jane Lilly her apearance at next Court in Middlesex ( Suffolk Court Files, vol. 32, docket 2714, p. 52, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives. Boston, MA.)",340,1883
SWP No. 69.1,Abigail Hobbs,"April 19, 1692",Examination,"(Examination of Abigail Hobbs ) [April 19, 1692] The Examination of Abigail Hobbs at Salem Village .19. Apr. 1692 by John Hawthorn and Jonath. Corwin , Esqs. & Assistants Abig: Hobbs, You are brought before Authority to answere to sundry acts of Witchcrafft committed by you against & upon the bodies of many, of which severall persons now accuse you. What say you? Are you guilty, or not? Speak the truth I will speak the truth, I have seen sights, & been scared: I have been very wicked, I hope I shall be better: & God will keep me. What sights did you see? I have seen dogs & many creatures What dogs do you mean, ordinary dogs? I mean the Devil. How often, many times? But once. Tell the truth. I do tell no lye. What appearance was he in then Like a man. Where was it. It was at the Eastward at Casko-bay. Where in the house, or in the woods? In the woods. In the night or in the day? In the day. How long agoe? About 3. or .4. years agoe? What did he say to you. He said he would give me fine things if I did what he would have me. What would he have you do? Why he would have me be a Witch. Would he have you make a Covenant wth him? Yes. And did you make a Covenant with him? Yes, I did, but I hope God will forgive me. The Lord give you Repentance You say you saw dogs, & many sorts of creatures I saw them at that time. But have you not seen them at other times too? Yes. Where? At our house. What #[who] were they like? Like a Cat. What would the Cat have you do? She had a book, & would have me put my hand to it. And did you? No, I did not. (2 Well, tell the truth, did you at any other time? Yes I did that time at the Eastward. What other Creatures did you see? I saw things like men. What did they say to you? Why they said I had better put my hand to the Book. You did put your hand to the book you say. Yes, one time. What would they have you put your hand to their book too? Yes. And what would they have you do then, would they have you worship them? They would have me make a bargain for so long, & do what they would have me do. For how long? Not for above 2. or .3. years. How long did they agree with you for? But for (2) two years. And what would they then do for you? They would give me fine cloths. And did they? No. When you set your hand the last time to book, how long was that for? It was for (4) four years. How long is that agoe? It is almost 4. yeares. The book was brought to me to set my hand to it for .4. years, but I never put my hand but that once at Eastward. Are you not bid to hurt folks Yes. Who are you bid to hurt? Mercy Lewes, & Ann Putman. What did you do to them, when you hurt them? I pincht them. How did you pinch them, do you goe in your own person to them. No. Doth the Devil go for you? Yes. And what doth he take your Spirit with him? No: I am as well as at other times: but the Devil has my consent, & goes & hurts them. Who hurt your mothe[r] last Lords day, was it not you? No. Who was it? I heard her say it was Goody Wilds at Topsfield. Have you been in Company with Goody Wilds at any time? No, I never saw her. 3) Well, who are your companions? Why I have seen Sarah Good once. How many did you see? I saw but two. Did you know Sarah Good was a Witch, when you saw her? Yes. How did you know it? The Devil told me. Who was the other you saw? I do not remember her name. Did you go & do hurt with Sarah Good? No she would have me set my hand to her book also. What mark did you make in the Devils book? when you set your hand to it? I made a mark. What mark? Have you not been at other great meetings? No. Did you not hear of great hurt done here in the village? Yes. And were you never with them? No I was never with them. But you know your shape appeared and hurt the people here. Yes. How did you know? The Devil told me, if I gave consent, he would do it in my shape. How long agoe? About a fortnight agoe. What shape did the Devil appear in then? Like a black man with an hat. Do not some creatures suck your body? No. Where do they come, to what parts, when they come to your body? They do not come to my body; they come only in light. Do they speak to you? Yes. How do they speak to you? As other folks. What do they speak to you, as other folks? Yes, almost. (4) Then other questions were propounded to her but she was taken DEAF: And Mary Walcot , Mercy Lewes , Betty Hubbard , Abig. Williams and Ann Putman jun'r said they They saw Sarah Good and Sarah Osborn run their fingers into the examinants ears: by & by she this examinant was blind with her eyes quite open. A little after, she spake, & said, Sarah Good saith I shall not speak. And so the Court ordered. her being seized with dumbness to be taken away Note. The afflicted. i.e. the bewitched persons were none of them tormented during the whole examination of this accused & confessing person Abigail Hobbs Note. After this examination Mercy Lewes, Abigail Williams, & Ann Putman three of the sufferers said openly in Court, they were very sorry for the condition this poor Abig: Hobbs was in: which compassion they expressed over & over again. Salem Village Aprill the 19th. 1692. Mr Samuell Parris being desired to take in wrighting the Examination of Abigail hobs hath deliuered it as followeth #[followeth] aforesaid Opon heareing the aforesd and seing what wee then did see, togather with the Charge of the persons then present, Wee Committed said Abigail Hobbs to theire Majesties Goale. [John Hathorne])/tag/hathorn_john.html) Assists Jonathan. Corwin this confesion & Examination is ye ⎫⎬ Truth as witnes my hand ⎭ 9 Sept 1692 The marke of Abigall  X   Hobs. Abigall Hobs Signed & owned this Confesion & Examination before me 9: Sept 1692 John Higginson Justice peace (Reverse)(1) The Exam'on of Abigail Hobbs 19. Apr. 1692 Abigail Hobs signed and owned this confession and examination before me 9th Sept. 1692. *John Higginson , Justice Peace. ( UNCAT MS, Miscellaneous Photostats (1692). Positive Photostat, Massachusetts Historical Society, Boston, MA.)",1185,5997
SWP No. 35.1,Sarah Cole (of Salem),"September 15, 1692",Warrant,"(Warrant for apprehension of Hannah Carroll & Sarah Cole (of Salem) & Officer's Return ) [September 15, 1692 ] To the Sheriffe of the County of Essex or #[their] his Deputy Complaint  haveing ben made to us their Majesties Justices of the Peace in Salem by Henery Brage of Salem labourer against Hannah Carrell wife of Nathaniell Carell whele right. & Sarah Coale , wife of Abraham Coale of Salem Taylor. for that the Said Hannah Carrell Did Sometimes one of them & Sometimes Both. together Severall Times ffeloniously  afflict Torture & Torment William Brage Son of Henr' Brage by that  Diabollicall art of witchcraft, & the Said Henr' Brage hath given in  bond to procecut his said Complaint to Effect./ These are therefore in their Majesties names to. -- require you forthwith to Apprehend  & Seize the Bodyes of the Said Hanah Carrell & Sarah Coale & Bringe them before their Majesties Justices of the Peace in Salem in order to their Examination for w'ch this shall be your sufficient warrant Dated in Salem:  10'th Sep'r 1692. *Bartho Gedney *John Hathorne *Jonathan. Corwin *John Higginson (Reverse)  Sep 15'th 1692 By virture hereof I have apprehended the body of Sarah Cole within  named and left her under Guard in the town of salem in order to her Examination by me *Geo. Herrick Dep'y sheriff Sara: Coale. Exa: 16:7 92 ( MS Ch K 1.40, vol. 2, p. 12, Rare Books and Manuscripts, Boston Public Library, Boston, MA. )",248,1426
SWP No. 137.11,"John Willard Executed August 19, 1692","June 3, 1692",Indictment,"(Indictment No. 7 of John Willard , for Afflicting Elizabeth Hubbard ) Anno Regni Regis et Reginae et Mariae nunc. Angliae &c Quarto Essex ss [+ June 3, 1692] The Juro's for our Sovereigne Lord & Lady the King & Queen pr'sent That John Willard of Salem Village in the County of Essex husb -- the Eighteenth Day of May in the fourth Year of the Reigne of our Sovereigne Lord & Lady William & Mary by the Grace of God of England. Scottland france & Ireland King & Queen Defend'rs of the faith &c and Divers other Dayes & times as well before as after certaine Detestable Arts called Witchcraft and Sorceries wickedly & felloniously hath used Practised & Exercised at & within the Towneship of Salem in the County of Essex afores'd in upon, and ag't one Elizabeth Hubbard of Salem Village afores'd in the County afores'd singlewoman by which said wicked arts the said Elizabeth Hubbard the s'd Eighteenth Day of May in the fourth year aboves'd and divers other Dayes & times as well before as after. was & is hurt: tortured: Afflicted consumed Pined. wasted & tormented ag't the Peace of our said Sovereigne Lord & Lady the King & Queen and ag't the forme of the Statute in that Case made & Provided Wittnesses Elizabeth Hubbard Mary Walcott . Abigail Williams Susanna Sheldon. Ann puttnam sen'r Ann puttnam Jun'r Mercy Lewis. (Reverse) No 7. bill Avera *John Rucke foreman in the name of the Rest (Reverse) Jno Willard ( Essex County Court Archives, Salem -- Witchcraft Vol. 1, no. 235, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives. Boston, MA. )",278,1585
SWP No. 46.1,Esther Elwell,"November 5, 1692",Warrant,"(Warrant for apprehension of Esther Elwell , Abigail Roe ,  and Rebecca Dike , and Officer's Return ) [November 5, 1692 ] To the Sheriffe of Our County of Essex, his under Sheriffe or Deputy. or Constable of Glocester, or Constable. Whereas Complaint  Is made by Leut. James Stevens & William Stevens & Nathaniel Coyt all of Glocester, In the County of Essex In behalfe of their Majesties, unto -- thair Majesties Justices. of the peace. against Esther Ellwell the wife of Samuel Elwell , & Abigail Roe daughter of Hugh Roe: #[Robta] & Rebecka Dike , the wife of Richard Dike . #[both] all of Gloster, aforesaid, for that they have Grounded suspicion that the Said Elwell Dike & Roe have wickedly & felloniously Comitted Sundry acts of  witchcraft upon the body of Mrs. Mary fitch the wife of Mr. John fitch of Gloaster afforesaid, unto the Wasteing pineing & Consumeing of her body Contrary to the peace of our sovereigne Lord & Lady the King & Queen & Contrary to the forme of the statutes in that  Case made & Provided. & have Craved Justice & have Entered into  Recognisance, to prosecute the Said Complaint to Effect. The which is here with me. and of thair Majesties Justices of ye Peace This is therefore In their Majesties Names. William & Mary of England &c  King & Queen to Require you by vertue hereof forwith or as soon as  may be, to Apprehend Seize & Secure the Said Esther Ellwell Rebecka Dike & Abigall Roe & them haveing So Secured You are the first Convenient time to bring before their Majesties Justices of the  Peace for the County of Essex that thay may be Examined & Provided with as the Law Directs of which You are not to faile at your  Perrill & for So Doeing this shall be Your sufficient Warrant, & make a true Returne under Your hand according to Law -- Ipswich Novemb'r. 5th 1692  Given under my hand *Tho's. Wade . J: P. (Reverse) This 7th of novemb 1692 By vertue of this within Within Written warrant I have the Apprehended & Seized the persons therein ordered to be Seized Viz Esther Ellwell, Rebecka Dike & abigall Roe all of Glocester & haue Conveyed them all to Ipswich, & haue ordered a Guard to secure them In order to thair Examination as Justice shall Require attests. Peter: Coffin Constabel ( Suffolk Court Files vol. 32, docket 2689a, p. 17, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives. Boston, MA. )",426,2386
